sentiment,negative_reason,text
negative,Women Reproductive right and Racism,instead suggestion agree  canadian  women trust  andrewscheer  conservatives government protect woman right automony body let go  cdnpoli  elxn  canada  abortion
positive,, allwomanspacewalk real n n etobicokenorth  cityofto  onpoli  cdnpoli  elxn
negative,Economy, brantford going cost billion next years ask justin  elxn  cdnpoli  canada
positive,, canada  canadaelection  canadavotes n elxn n ncan decide help n n
negative,Economy, canada  taxpayers sick tired hard earned donated corporate welfare bums need one many reasons  trudeaumustgo leave  canada care  snclavalinscandal  election  elxn  cdnpoli
negative,Others, canadavotes  elxn  cdnpoli facts  blastfromthepast  conservatives introduced end long gun registry even though heads police across canada victims groups objected crime control public safety  gunlobby
positive,, cdnmedia  elxn  cdnpoli  ppc rocky dong hands best election video ever please google rocky dong boxes socialism seen go rocky
positive,, cdnpoli  elxn liberals double promised national debt next term elected forecasting billion w national pharmacare program incl w ndp coalition billion seems possible imo
negative,Others, chooseforward  cdnpoli  elxn ncanada make america mistakes full frontal tbs via
negative,Scandal, cpckinsellagate nlet see receipts pays warren kinsella make sleaze n cdnpoli n elxn n voteliberal xf x f x xa xf x f x xa n chooseforward
positive,, elxn two days away voting e day read primer learn vote vote vote vote n n
positive,, elxn prediction justin trudeau  lpc loses monday night due bleeding support qc bc trudeau lpc wins monday night thanks solid support  cdnpoli
positive,, icymi  analysis ford nation respond renata ford people party canada bid  etobicokenorth mp ballot box residents experts weigh n  vote n cdnpoli  etobicoke  etobto
positive,, icymi  analysis ford nation respond renata ford people party canada bid  etobicokenorth mp ballot box residents experts weigh n  vote n cdnpoli  etobicoke  etobto
negative,Others, kinsella runs deep w  cpc  lyingandy crazed anti trudeau fixation bordering freudian n nkinsella hands overhyped  snclavalin situation questioned connection kinsella n n cdnpoli n elxn
negative,Tell lies, lyingandy history answering embarrassing questions one answer  trump operatives working campaign spoiler alert yes  yankeedoodleandy  scheeramerican  elxn  cdnpoli n
positive,, threadalert nhere study sheet unfit candidate n cdnpoli  elxn  elxn
positive,, uprisingh definitely looking forward asian paramilitary religious cult evolved middle ages resist moghul invasion india taking country  elxn
positive,, uptoyouth  cdnpoli  elxn today youth smart smarter average adult change world change world
negative,Scandal,urgent please watch video david haskell people party candidate cambridge breaks recent news concerning conservative party hiring firm spread disinformation us  ppc  ygk  elxn  cdnpoli  corruption n
negative,Others,policy comment illegal immoral nefarious activities  cpc justin trudeau poopy pants n n elxn  cdnpoli  kinsellagate
negative,Others,fit hold public office let alone pm n ncanadians deserve better n n voteppc n n kinsellagate  elxn n n powerhungrylibcons
positive,,prof mary wiktorowicz weighs health care policy federal election tvo  elxn
positive,,part leftist  justinjournos virtue signaling objectivity days b election want public become aware msm real thoughts early campaign  cdnmedia  elxn
negative,Others, alberta  saskatchewan  ontario province issue  canada many  ontario wait send packing monday  trudeaumustgo  election  elxn  cdnpoli
positive,,hi alan wondering could put quick social media message importance getting voting monday best interest country love represent well  election  elxn n vote  vote  vote
negative,Scandal,citizens file complaints arrests believe amount corruption goes completely ignored  canada seem busy patting back  americans guess n cdnpoli  elxn
negative,Others,using dodgeball ndodge dip duck dive dodge nit working xf x f x xa xf x f x xa see sanctimonious fraud n ntwo days two days ntwo days two days ntwo days two days ntwo days two days n n elxn n cdnpoli
positive,,well yeah jam n nask questions like believes caused affordability issue refers thinks business investment heading n n elxn
negative,Tell lies,ask questions hypotheticals n cdnpoli  elxn
negative,Scandal,surprised n answered q years always responds rehersed talking points bafflegab word salad effort deflect distract laundry list personal scandals  lpc missteps n xf x f x xa xf x f x xa voters wake n n elxn n cdnpoli
positive,,pardon english adam f cking awesome fingers toes crossed milton recognizes jackpot hit cdn hero  elxn
positive,,election even yet might investigation something unethical canadians heads come canada let show  lyingandy door monday  cdnpoli  elxn  cdnelxn
negative,Scandal,warren jwr yell us new story involved liberal smear campaign  cdnpoli  elxn
negative,Privilege,life also gotten expensive republican heroes like elected cater well everyone else expense n n elxn  stopscheer  kinsellagate
negative,Others,pretty simple much evidence need see realize little difference blue red mafias smfh xf x f xa xa xe x x xe x x xef xb x f  libconsmears  elxn
negative,Others,fender benders make bc supreme court means appealed guilty verdict  elxn  trudeaumustgo  liberalsmustgo  lavscam  trudeaublackface  notasadvertised  scheer pm  scheermajority
negative,Scandal,speaking  deception get money worth paying warren kinsella take rival party n n cdnpoli  cdnelxn  elxn n n
positive,,thank erin scrambling show canadians path staying united canada severely threatened three climate emergency supportive parties n nonly cpc enough foresight defend canada defending alberta  elxn
negative,Scandal,investigated  elxn donations petroleum lobbyists  capp  andycapp handicapp  cpc hq
negative,Economy,start basic legal premise precedent courts work way propose let restate  teamtrudeau demanded  isds trade favours cdn extractive operators worldwide n nalso bs excuse years tar sands n n elxn
negative,Tell lies,seriously west coast either high clearly paying attention rest xf x f x xa xf x f x xa  bigbluewave coming oct st lay mushrooms n cdnpoli  elxn  trudeaumustgo  buttsmustgo  liberalliesanddeception  scheer  scheer pm
negative,Others,even n n cdnpoli  yyj  qcpoli  onpoli  ableg  nspoli  ubc  peipoli  vanpoli  ucalgary  bced  mytru  elxn  uoft  nbed  unbc  skpoli  abed  nlpoli  ualberta  mbpoli  topoli  nait  bcpoli  yow  onted  nbpoli  sasked  mbedu  nflded  edupei  nsed  uvic  sfu  eduqc  yeg  yyc
positive,,please feel free inform us successful governments one n nsurely back statement would fly face know professionals said much based data studies n nwe await response n cdnpoli  elxn  itsourvote
positive,,good  climateemergency n n elxn  stopscheer
positive,,yeah true hope pulls monday n n chooseforward  cdnpoli  elxn
negative,Tell lies,name one election since harper mackay shook hands death pc party  cpc lied cheated  cdnpoli  elxn
negative,Others,one leader gives answer question given leader barely tries answering question  elxn  cdnpoli
negative,Scandal,campaign hired  warrenkinsella time working  andrewscheer explain please see link factions diametrically opposed anyone vote green vote split mechanism engineered oil patch  elxn
negative,Tell lies,well known rafidite supporting jerk nothing done trudeau hypocrite brings syrian refugees fleeing iran bombs runs iranian regime supporter mp  elxn  cdnpoli  trudeaumustgo  trudeauhypocrite
negative,Climate Problem,give us greenhouse gas reduction strategy prevents catastrophic climate change meets ipcc targets plan even meet harper weak targets bought pipeline get f grade climate  elxn  climatevote  cdnpoli
negative,Others,look po boy squirm n nguilty n cdnpoli n elxn
negative,Scandal,andy transparent election expect transparency pm n scheerhypocrisy  elxn
negative,Healthcare,coalition gov might get us evidence based policy opioid crisis killed canadians since must stop harm stop inter generational trauma  elxn  cdnpoli  stoptheharm  safesupply  decriminalize  voteforchange
negative,Tell lies,truth becomes shit ears want hear n n peoplespartyofcanada n choosemaxime n ppc n elxn n cdnpoli n trudeauesque
negative,Tell lies,began long ago putting icing gift  canadiansstandonguard  invasionbystealth ugly benefit people  whengreedleads usually con job  voteliberal  bethechange  elxn
positive,,going suggest work jwr free technically firm hired also first affidavit witnessed  cdnpoli  elxn
negative,Scandal,even blocked blocked second account back guess want commenting disaster  elxn  cdnpoli
positive,,voting decision driven three things contempt cons due doug ford destruction ontario positive gains federal government many important issues desire healthy progressive country children futures ni  chooseforward n cdnpoli  elxn
negative,Scandal,candidate apparently trouble swallowing  scheerlies today presser hiring  ismellakinsella daisy group sabotage ppc campaign  elxn n scheerdisaster  chooseforwardwithtrudeau
negative,Scandal,conservative party spends campaign distancing doug ford gets busted final days something doug ford would done fashion doug ford would  cdnpoli  elxn
positive,,report source lol  elxn
positive,,reminds ed norton character  fightclub  movies  prickstarter  tornado  rwc  headies  elxn  twice ever  estadoemergencia  thescariestmoviehastobe
negative,Scandal,gladly send thousand dollars convince read snopes soros right wing misinformation n nand one knows doubts done homework start typing tick tock remember must convince  elxn
positive,,better black face bullet n n xf x f x x e mr dimples n elxn n n xf x f x x xf x f x x xf x f x xbb
negative,Tell lies,referral alchohol consumption nothing childish behavior stick facts cheap shots put cause good light  cdnpoli  elxn
negative,Others,trudeau bash alberta wants get single seat province ontario take ontario granted  trudeaumustgo  trudeaublackface  trudeauworstpm  trudeaumustresign  cdnpoli  polcan  elxn  ontpoli  abpoli  fordnation
negative,Others,obama sold  trudeaublackface endorse blackface ndp turban dude progressives discredited ideology get fox new trucker carson cover  elxn  cdnpoli
positive,,oh yeah agreed n nthis mother approach written n nwhich could damn cranky last months junior high school flashbacks n n chooseforward  ivotedliberal  cdnpoli  elxn  itsourvote
